Mean(R),retail_and_recreation_percent_change_from_baseline_11,grocery_and_pharmacy_percent_change_from_baseline_11,parks_percent_change_from_baseline_11,transit_stations_percent_change_from_baseline_11,workplaces_percent_change_from_baseline_11,residential_percent_change_from_baseline_11,retail_and_recreation_percent_change_from_baseline_10,grocery_and_pharmacy_percent_change_from_baseline_10,parks_percent_change_from_baseline_10,transit_stations_percent_change_from_baseline_10,workplaces_percent_change_from_baseline_10,residential_percent_change_from_baseline_10,retail_and_recreation_percent_change_from_baseline_9,grocery_and_pharmacy_percent_change_from_baseline_9,parks_percent_change_from_baseline_9,transit_stations_percent_change_from_baseline_9,workplaces_percent_change_from_baseline_9,residential_percent_change_from_baseline_9,retail_and_recreation_percent_change_from_baseline_8,grocery_and_pharmacy_percent_change_from_baseline_8,parks_percent_change_from_baseline_8,transit_stations_percent_change_from_baseline_8,workplaces_percent_change_from_baseline_8,residential_percent_change_from_baseline_8,retail_and_recreation_percent_change_from_baseline_7,grocery_and_pharmacy_percent_change_from_baseline_7,parks_percent_change_from_baseline_7,transit_stations_percent_change_from_baseline_7,workplaces_percent_change_from_baseline_7,residential_percent_change_from_baseline_7,retail_and_recreation_percent_change_from_baseline_6,grocery_and_pharmacy_percent_change_from_baseline_6,parks_percent_change_from_baseline_6,transit_stations_percent_change_from_baseline_6,workplaces_percent_change_from_baseline_6,residential_percent_change_from_baseline_6,retail_and_recreation_percent_change_from_baseline_5,grocery_and_pharmacy_percent_change_from_baseline_5,parks_percent_change_from_baseline_5,transit_stations_percent_change_from_baseline_5,workplaces_percent_change_from_baseline_5,residential_percent_change_from_baseline_5,retail_and_recreation_percent_change_from_baseline_4,grocery_and_pharmacy_percent_change_from_baseline_4,parks_percent_change_from_baseline_4,transit_stations_percent_change_from_baseline_4,workplaces_percent_change_from_baseline_4,residential_percent_change_from_baseline_4,retail_and_recreation_percent_change_from_baseline_3,grocery_and_pharmacy_percent_change_from_baseline_3,parks_percent_change_from_baseline_3,transit_stations_percent_change_from_baseline_3,workplaces_percent_change_from_baseline_3,residential_percent_change_from_baseline_3,retail_and_recreation_percent_change_from_baseline_2,grocery_and_pharmacy_percent_change_from_baseline_2,parks_percent_change_from_baseline_2,transit_stations_percent_change_from_baseline_2,workplaces_percent_change_from_baseline_2,residential_percent_change_from_baseline_2,retail_and_recreation_percent_change_from_baseline_1,grocery_and_pharmacy_percent_change_from_baseline_1,parks_percent_change_from_baseline_1,transit_stations_percent_change_from_baseline_1,workplaces_percent_change_from_baseline_1,residential_percent_change_from_baseline_1
1.563619952,5,0,15,1,0,0,6,1,25,0,1,-1,5,-2,9,-1,-19,5,0,-1,6,3,2,0,3,0,14,3,2,0,2,0,2,2,2,0,2,-2,19,6,3,0,9,4,68,8,3,-2,7,3,77,6,3,-1,2,-1,0,2,3,1,4,0,2,4,2,0
1.680110599,6,1,25,0,1,-1,5,-2,9,-1,-19,5,0,-1,6,3,2,0,3,0,14,3,2,0,2,0,2,2,2,0,2,-2,19,6,3,0,9,4,68,8,3,-2,7,3,77,6,3,-1,2,-1,0,2,3,1,4,0,2,4,2,0,6,2,-3,3,1,0
1.838417258,5,-2,9,-1,-19,5,0,-1,6,3,2,0,3,0,14,3,2,0,2,0,2,2,2,0,2,-2,19,6,3,0,9,4,68,8,3,-2,7,3,77,6,3,-1,2,-1,0,2,3,1,4,0,2,4,2,0,6,2,-3,3,1,0,2,0,-6,2,-3,2
1.821974991,0,-1,6,3,2,0,3,0,14,3,2,0,2,0,2,2,2,0,2,-2,19,6,3,0,9,4,68,8,3,-2,7,3,77,6,3,-1,2,-1,0,2,3,1,4,0,2,4,2,0,6,2,-3,3,1,0,2,0,-6,2,-3,2,4,1,7,7,1,0
1.662026758,3,0,14,3,2,0,2,0,2,2,2,0,2,-2,19,6,3,0,9,4,68,8,3,-2,7,3,77,6,3,-1,2,-1,0,2,3,1,4,0,2,4,2,0,6,2,-3,3,1,0,2,0,-6,2,-3,2,4,1,7,7,1,0,11,5,13,7,2,-2
1.652192253,2,0,2,2,2,0,2,-2,19,6,3,0,9,4,68,8,3,-2,7,3,77,6,3,-1,2,-1,0,2,3,1,4,0,2,4,2,0,6,2,-3,3,1,0,2,0,-6,2,-3,2,4,1,7,7,1,0,11,5,13,7,2,-2,17,10,68,11,4,-2
1.688371144,2,-2,19,6,3,0,9,4,68,8,3,-2,7,3,77,6,3,-1,2,-1,0,2,3,1,4,0,2,4,2,0,6,2,-3,3,1,0,2,0,-6,2,-3,2,4,1,7,7,1,0,11,5,13,7,2,-2,17,10,68,11,4,-2,7,3,-7,2,2,0
1.724709337,9,4,68,8,3,-2,7,3,77,6,3,-1,2,-1,0,2,3,1,4,0,2,4,2,0,6,2,-3,3,1,0,2,0,-6,2,-3,2,4,1,7,7,1,0,11,5,13,7,2,-2,17,10,68,11,4,-2,7,3,-7,2,2,0,12,8,23,7,2,-1
1.758951888,7,3,77,6,3,-1,2,-1,0,2,3,1,4,0,2,4,2,0,6,2,-3,3,1,0,2,0,-6,2,-3,2,4,1,7,7,1,0,11,5,13,7,2,-2,17,10,68,11,4,-2,7,3,-7,2,2,0,12,8,23,7,2,-1,12,7,29,7,2,-1
1.824393408,2,-1,0,2,3,1,4,0,2,4,2,0,6,2,-3,3,1,0,2,0,-6,2,-3,2,4,1,7,7,1,0,11,5,13,7,2,-2,17,10,68,11,4,-2,7,3,-7,2,2,0,12,8,23,7,2,-1,12,7,29,7,2,-1,11,8,51,8,2,-1
